date,temp_mean,temp_min,temp_max,precip_lowerCap,precip_CapLakehead,LowerCap_cumulative_rain,Lakehead_cumulative_rain
1/1/2024,3.6,1,5.9,0,0,0,0
1/2/2024,5.4,3.9,6.4,10.41,14.8,10.41,14.8
1/3/2024,6.2,5.4,7.2,10.41,12.6,20.82,27.4
1/4/2024,5,3.2,6.4,39.62,52.4,60.44,79.8
1/5/2024,4.2,3.2,5.1,63.5,76.9,123.94,156.7
1/6/2024,2,-0.6,4.5,7.37,14.5,131.31,171.2
1/7/2024,-0.1,-1.3,1.9,1,2.3,132.31,173.5
1/8/2024,0.3,-0.4,2.5,15.6,21.1,147.91,194.6
1/9/2024,3.6,1,5.9,16.51,4.57,164.42,199.17
1/10/2024,1.3,-0.7,3.7,1.02,3.3,165.44,202.47
1/11/2024,-3.5,-9.4,0.7,0.25,0.25,165.69,202.72
1/12/2024,-11.2,-13.2,-7.1,0,0,165.69,202.72
1/13/2024,-10.2,-13.3,-4.3,0,0,165.69,202.72
1/14/2024,-7.2,-10,-1.7,0,0,165.69,202.72
1/15/2024,-4.4,-7.6,1.2,0,0,165.69,202.72
1/16/2024,-2.1,-5,2.2,0,0,165.69,202.72
1/17/2024,-1.4,-3,-0.1,5.6,7.2,171.29,209.92
1/18/2024,-1.3,-3.7,0.9,0,0,171.29,209.92
1/19/2024,1.4,-0.1,3.2,26.5,29.3,197.79,239.22
1/20/2024,3.1,1.5,5,2.79,4.5,200.58,243.72
1/21/2024,3.8,3.3,4.2,33.27,65.79,233.85,309.51
1/22/2024,4.6,4.1,5.5,41.15,72.39,275,381.9
1/23/2024,5.3,4.2,6.7,36.32,46.74,311.32,428.64
1/24/2024,4.4,4,5.7,23.11,34.29,334.43,462.93
1/25/2024,5.1,4.4,5.8,68.58,95.76,403.01,558.69
1/26/2024,5.9,4.7,8.1,18.29,25.91,421.3,584.6
1/27/2024,8,5.9,10.7,115.82,151.38,537.12,735.98
1/28/2024,9.3,6.8,12.2,18.29,23.62,555.41,759.6
1/29/2024,10.3,9.8,11,17.27,20.32,572.68,779.92
1/30/2024,9.8,8.7,10.9,1.5,2,574.18,781.92
1/31/2024,10.4,9.3,11.7,15.5,15.75,589.68,797.67
