Date,Precip,TA
1-Jan-03,324.26,5.2
1-Feb-03,103.77,3.1
1-Mar-03,412.8,5
1-Apr-03,240.12,7.1
1-May-03,93.34,10.7
1-Jun-03,36.52,15.9
1-Jul-03,51.82,18
1-Aug-03,8.89,17.7
1-Sep-03,124.13,14.9
1-Oct-03,550.78,10.1
1-Nov-03,407.04,2.5
1-Dec-03,360.52,2.7
1-Jan-04,467.19,2.2
1-Feb-04,194.7,5.3
1-Mar-04,324.47,6.3
1-Apr-04,69.26,10.6
1-May-04,161.18,11.9
1-Jun-04,45.4,16
1-Jul-04,18.03,18.7
1-Aug-04,158.12,18.1
1-Sep-04,173.95,12.4
1-Oct-04,322.94,9.2
1-Nov-04,532,4.9
1-Dec-04,498,3.4
1-Jan-05,896,2.5
1-Feb-05,135,3.5
1-Mar-05,286.21,6.3
1-Apr-05,194.17,8.4
1-May-05,186.01,12.8
1-Jun-05,134.27,13.3
1-Jul-05,121.08,17.1
1-Aug-05,42.12,17.7
1-Sep-05,156.41,12.5
1-Oct-05,423.75,9.3
1-Nov-05,330.55,3.8
1-Dec-05,349.28,3
1-Jan-06,628.48,4.1
1-Feb-06,159.67,2.3
1-Mar-06,258.71,3.9
1-Apr-06,135.25,7.4
1-May-06,106.06,11.6
1-Jun-06,126.7,15
1-Jul-06,30.19,17.8
1-Aug-06,13.94,16.5
1-Sep-06,84.25,14.5
1-Oct-06,240.18,8.7
1-Nov-06,832.22,3.6
1-Dec-06,334.98,2.4
1-Jan-07,681.88,0.6
1-Feb-07,326.26,3.6
1-Mar-07,458.14,4.9
1-Apr-07,129.2,7
1-May-07,125.42,11.1
1-Jun-07,139.33,13.2
1-Jul-07,117.81,17.9
1-Aug-07,36.26,16.2
1-Sep-07,130.44,12.8
1-Oct-07,451.93,7.7
1-Nov-07,254.4,3.9
1-Dec-07,376.48,1.3
1-Jan-08,335,0.6
1-Feb-08,198,3
1-Mar-08,185.16,3.2
1-Apr-08,108.08,5
1-May-08,72.81,10.8
1-Jun-08,76.84,12.6
1-Jul-08,61.67,16.7
1-Aug-08,198.26,16.4
1-Sep-08,46.17,13.8
1-Oct-08,275.73,8.5
1-Nov-08,369.18,6.9
1-Dec-08,520,-0.1
1-Jan-09,328,0.7
