datetime,BUI,DC,Dgr
4/15/1988,9,23,2
4/16/1988,9.7,25.6,1
4/17/1988,10.3,28,1
4/18/1988,7.2,24.3,1
4/19/1988,8.7,28,1
4/20/1988,11.3,32.3,1
4/21/1988,13.3,36.3,2
4/22/1988,14.2,39.1,2
4/23/1988,8.8,29.8,1
4/24/1988,7.8,31.5,1
4/25/1988,8.3,33.8,1
4/26/1988,9.9,37.2,1
4/27/1988,11.5,40.6,1
4/28/1988,7.4,35.3,1
4/29/1988,1.5,1.8,1
4/30/1988,0.4,1.3,1
5/1/1988,0.7,3.5,1
5/2/1988,0.2,3,1
5/3/1988,0.5,3.6,1
5/4/1988,1.8,8,1
5/5/1988,3.4,12.7,1
5/6/1988,4.2,16.7,1
5/7/1988,6.3,22,1
5/8/1988,8.8,27.6,2
5/9/1988,9.7,31.8,2
5/10/1988,12.6,37.7,2
5/11/1988,16.2,44.5,2
5/12/1988,20,51.5,3
5/13/1988,7.1,4,1
5/14/1988,3.2,4,1
5/15/1988,2.4,6.2,1
5/16/1988,1.2,4,1
5/17/1988,0.5,3.7,1
5/18/1988,0.6,3.8,1
5/19/1988,1.6,8.3,1
5/20/1988,3.3,12.9,1
5/21/1988,4.7,17.8,1
5/22/1988,1.5,3.9,1
5/23/1988,2.1,7.3,1
5/24/1988,2.9,11.3,1
5/25/1988,3.5,15,1
5/26/1988,5.2,19.7,1
5/27/1988,1.7,4.4,1
5/28/1988,0.8,4.2,1
5/29/1988,0.6,4,1
5/30/1988,2.1,8.7,1
5/31/1988,0.6,4,1
6/1/1988,0.4,3.4,1
6/2/1988,0.7,5,1
6/3/1988,0.6,5.1,1
6/4/1988,1.7,10.7,1
6/5/1988,1.2,12.1,1
6/6/1988,0.6,6.4,1
6/7/1988,0.6,9.2,1
6/8/1988,1.4,5.9,1
6/9/1988,3.7,12.3,1
6/10/1988,1.5,5.2,1
6/11/1988,2.7,10.9,1
6/12/1988,4.7,17.3,1
6/13/1988,7.7,24.3,1
6/14/1988,12,32.4,2
6/15/1988,15.4,40,2
6/16/1988,18,47.1,2
6/17/1988,19.4,52.7,2
6/18/1988,12.6,44.8,1
6/19/1988,15.1,51.5,1
6/20/1988,17.8,58.5,2
6/21/1988,20.7,65.6,2
6/22/1988,12.9,56,1
6/23/1988,14.2,61.9,1
6/24/1988,17.6,68.8,1
6/25/1988,22,76.6,2
6/26/1988,23.4,82.5,2
6/27/1988,24.7,88.2,2
6/28/1988,26.4,94.1,2
6/29/1988,27.9,99.9,2
6/30/1988,30,106.1,2
7/1/1988,28.5,111.6,2
7/2/1988,15,85.9,1
7/3/1988,15.7,91.7,1
7/4/1988,17.1,97.9,1
7/5/1988,12.1,98.3,1
7/6/1988,7.1,94.7,1
7/7/1988,9.4,101.8,1
7/8/1988,13.6,109.7,1
7/9/1988,18,117.3,2
7/10/1988,21.2,124.9,2
7/11/1988,13,118.5,1
7/12/1988,7.4,112.4,1
7/13/1988,4,86.9,1
7/14/1988,6.4,93.5,1
7/15/1988,8.5,100,1
7/16/1988,11.9,107.3,1
7/17/1988,15.8,114.7,2
7/18/1988,20.9,123,2
7/19/1988,27.5,132.1,3
7/20/1988,33.7,141.2,3
7/21/1988,36.7,149,3
7/22/1988,39,156.2,3
7/23/1988,41.7,163.8,3
7/24/1988,46.2,172,3
7/25/1988,49.5,180.6,3
7/26/1988,54.1,189.3,3
7/27/1988,57.7,197.2,4
7/28/1988,60,204.1,3
7/29/1988,63.2,212.1,3
7/30/1988,65.7,219.7,3
7/31/1988,67.6,226.8,3
8/1/1988,69.9,234,3
8/2/1988,72.9,241.3,4
8/3/1988,76.5,248.9,4
8/4/1988,79.6,256.3,4
8/5/1988,80.6,261.8,4
8/6/1988,81.5,267,3
8/7/1988,82.9,272.9,3
8/8/1988,84.5,279,4
8/9/1988,85.5,284.8,3
8/10/1988,86.9,291,3
8/11/1988,89.2,298,4
8/12/1988,91.5,304.8,4
8/13/1988,93.2,311,4
8/14/1988,94.8,317.2,4
8/15/1988,95.6,322.5,4
8/16/1988,44.8,207.2,2
8/17/1988,42.3,212.8,2
8/18/1988,43.3,218.5,2
8/19/1988,40.9,224.3,2
8/20/1988,41.5,229.6,2
8/21/1988,43.6,236.2,3
8/22/1988,47.4,243.8,3
8/23/1988,52.6,252,3
8/24/1988,57.5,260.5,4
8/25/1988,59.2,266.8,3
8/26/1988,61.8,273.9,3
8/27/1988,64.8,281.5,3
8/28/1988,68.7,289.4,3
8/29/1988,71.3,296.2,4
8/30/1988,73.7,302.9,4
8/31/1988,76.4,309.9,4
9/1/1988,80.3,317.8,4
9/2/1988,85,325.1,4
9/3/1988,90.5,332.9,5
9/4/1988,93.7,339.6,4
9/5/1988,95.5,345.1,4
9/6/1988,80.6,343.4,2
9/7/1988,63.7,338.9,2
9/8/1988,65.4,343.7,3
9/9/1988,66.7,348.1,3
9/10/1988,68.8,352.9,3
9/11/1988,72,358.3,4
9/12/1988,75.6,364.5,4
9/13/1988,79.6,371.1,4
9/14/1988,83.4,377.5,4
9/15/1988,83.9,381.1,4
9/16/1988,84.5,384.9,4
9/17/1988,79.1,389.1,3
9/18/1988,79.9,392.7,3
9/19/1988,30.9,218,2
9/20/1988,32.7,222.7,2
9/21/1988,34.1,227.3,2
9/22/1988,34.7,231,2
9/23/1988,17.1,196.9,1
9/24/1988,17.7,200.5,1
9/25/1988,9,176.7,1
9/26/1988,4.3,164.1,1
9/27/1988,1.6,69.2,1
9/28/1988,0.6,64,1
9/29/1988,4.5,69.3,1
9/30/1988,6.5,74.6,1
10/1/1988,9.8,80.5,2
10/2/1988,12.5,85.5,2
10/3/1988,13.4,89.4,2
10/4/1988,13.8,92.3,1
10/5/1988,14.9,96.2,1
10/6/1988,16.2,100.1,2
10/7/1988,17.2,103.8,2
10/8/1988,18.3,107.3,2
10/9/1988,21.5,112,2
10/10/1988,24.6,116.9,3
10/11/1988,25.2,120,2
10/12/1988,26.1,123.5,2
10/13/1988,10.4,48.9,1
10/14/1988,3.2,8.6,1
10/15/1988,1.1,2.6,1
4/15/1991,6.8,18.2,2
4/16/1991,7.6,19,2
4/17/1991,9.5,20,2
4/18/1991,9.9,24,2
4/19/1991,12,25,2
4/20/1991,12.4,29.2,2
4/21/1991,14.8,30.2,2
4/22/1991,15.2,34.7,2
4/23/1991,16.1,37.4,2
4/24/1991,5.7,40.3,1
4/25/1991,2.8,2.1,1
4/26/1991,3.4,2,1
4/27/1991,3.8,4.2,1
4/28/1991,4.1,5.2,1
4/29/1991,4.4,6.2,1
4/30/1991,8.3,7.2,2
5/1/1991,12.6,11.8,2
5/2/1991,12.9,16.4,2
5/3/1991,15.7,18.8,2
5/4/1991,16,24.2,2
