year,month,day,danger,rating
2015,4,24,1,Very Low
2015,5,1,1,Very Low
2015,5,8,2,Low
2015,5,15,2,Low
2015,5,22,2,Low
2015,5,29,3,Moderate
2015,6,5,3,Moderate
2015,6,12,4,High
2015,6,19,4,High
2015,6,26,4,High
2015,7,3,5,Extreme
2015,7,10,4,High
2015,7,17,4,High
2015,7,24,2,Low
2015,7,31,4,High
2015,8,7,2,Low
2015,8,14,3,Moderate
2015,8,21,4,High
2015,8,28,1,Very Low
2015,9,4,1,Very Low
2015,9,11,2,Low
2015,9,18,1,Very Low
2015,9,25,1,Very Low
2015,10,2,2,Low
2015,10,9,1,Very Low
2015,10,16,2,Low
2015,10,23,1,Very Low
2015,10,30,1,Very Low
2016,4,24,2,Low
2016,5,1,3,Moderate
2016,5,8,3,Moderate
2016,5,15,3,Moderate
2016,5,22,2,Low
2016,5,29,1,Very Low
2016,6,5,2,Low
2016,6,12,1,Very Low
2016,6,19,1,Very Low
2016,6,26,2,Low
2016,7,3,3,Moderate
2016,7,10,1,Very Low
2016,7,17,2,Low
2016,7,24,3,Moderate
2016,7,31,3,Moderate
2016,8,7,3,Moderate
2016,8,14,4,High
2016,8,21,4,High
2016,8,28,4,High
2016,9,4,1,Very Low
2016,9,11,2,Low
2016,9,18,1,Very Low
2016,9,25,1,Very Low
2016,10,2,1,Very Low
2016,10,9,1,Very Low
2016,10,16,1,Very Low
2016,10,23,1,Very Low
2016,10,30,1,Very Low
2017,4,24,1,Very Low
2017,5,1,1,Very Low
2017,5,8,1,Very Low
2017,5,15,1,Very Low
2017,5,22,3,Moderate
2017,5,29,4,High
2017,6,5,2,Low
2017,6,12,1,Very Low
2017,6,19,1,Very Low
2017,6,26,3,Moderate
2017,7,3,3,Moderate
2017,7,10,4,High
2017,7,17,4,High
2017,7,24,3,Moderate
2017,7,31,4,High
2017,8,7,4,High
2017,8,14,4,High
2017,8,21,4,High
2017,8,28,5,Extreme
2017,9,4,5,Extreme
2017,9,11,3,Moderate
2017,9,18,2,Low
2017,9,25,2,Low
2017,10,2,2,Low
2017,10,9,1,Very Low
2017,10,16,1,Very Low
2017,10,23,1,Very Low
2017,10,30,2,Low
2018,4,24,1,Very Low
2018,5,1,2,Low
2018,5,8,2,Low
2018,5,15,3,Moderate
2018,5,22,3,Moderate
2018,5,29,3,Moderate
2018,6,5,3,Moderate
2018,6,12,1,Very Low
2018,6,19,3,Moderate
2018,6,26,2,Low
2018,7,3,3,Moderate
2018,7,10,2,Low
2018,7,17,3,Moderate
2018,7,24,4,High
2018,7,31,4,High
2018,8,7,5,Extreme
2018,8,14,4,High
2018,8,21,5,Extreme
2018,8,28,4,High
2018,9,4,4,High
2018,9,11,1,Very Low
2018,9,18,1,Very Low
2018,9,25,1,Very Low
2018,10,2,1,Very Low
2018,10,9,1,Very Low
2018,10,16,2,Low
2018,10,23,3,Moderate
2018,10,30,1,Very Low
2019,4,24,2,Low
2019,5,1,2,Low
2019,5,8,3,Moderate
2019,5,15,1,Very Low
2019,5,22,2,Low
2019,5,29,2,Low
2019,6,5,3,Moderate
2019,6,12,4,High
2019,6,19,4,High
2019,6,26,3,Moderate
2019,7,3,2,Low
2019,7,10,1,Very Low
2019,7,17,2,Low
2019,7,24,2,Low
2019,7,31,2,Low
2019,8,7,3,Moderate
2019,8,14,3,Moderate
2019,8,21,2,Low
2019,8,28,3,Moderate
2019,9,4,3,Moderate
2019,9,11,3,Moderate
2019,9,18,1,Very Low
2019,9,25,1,Very Low
2019,10,2,2,Low
2019,10,9,1,Very Low
2019,10,16,1,Very Low
2019,10,23,1,Very Low
2019,10,30,2,Low
2020,4,24,1,Very Low
2020,5,1,1,Very Low
2020,5,8,2,Low
2020,5,15,1,Very Low
2020,5,22,1,Very Low
2020,5,29,2,Low
2020,6,5,1,Very Low
2020,6,12,1,Very Low
2020,6,19,1,Very Low
2020,6,26,2,Low
2020,7,3,1,Very Low
2020,7,10,1,Very Low
2020,7,17,2,Low
2020,7,24,3,Moderate
2020,7,31,4,High
2020,8,7,2,Low
2020,8,14,3,Moderate
2020,8,21,2,Low
2020,8,28,3,Moderate
2020,9,4,3,Moderate
2020,9,11,4,High
2020,9,18,3,Moderate
2020,9,25,1,Very Low
2020,10,2,2,Low
2020,10,9,1,Very Low
2020,10,16,1,Very Low
2020,10,23,1,Very Low
2020,10,30,1,Very Low
2021,4,24,1,Very Low
2021,5,1,1,Very Low
2021,5,8,1,Very Low
2021,5,15,2,Low
2021,5,22,2,Low
2021,5,29,2,Low
2021,6,5,1,Very Low
2021,6,12,1,Very Low
2021,6,19,2,Low
2021,6,26,4,High
2021,7,3,4,High
2021,7,10,4,High
2021,7,17,4,High
2021,7,24,5,Extreme
2021,7,31,5,Extreme
2021,8,7,2,Low
2021,8,14,4,High
2021,8,21,3,Moderate
2021,8,28,2,Low
2021,9,4,3,Moderate
2021,9,11,2,Low
2021,9,18,1,Very Low
2021,9,25,3,Moderate
2021,10,2,1,Very Low
2021,10,9,1,Very Low
2021,10,16,1,Very Low
2021,10,23,1,Very Low
2021,10,30,1,Very Low
2022,4,24,1,Very Low
2022,5,1,1,Very Low
2022,5,8,1,Very Low
2022,5,15,1,Very Low
2022,5,22,1,Very Low
2022,5,29,1,Very Low
2022,6,5,1,Very Low
2022,6,12,1,Very Low
2022,6,19,1,Very Low
2022,6,26,2,Low
2022,7,3,1,Very Low
2022,7,10,1,Very Low
2022,7,17,2,Low
2022,7,24,3,Moderate
2022,7,31,4,High
2022,8,7,3,Moderate
2022,8,14,3,Moderate
2022,8,21,4,High
2022,8,28,4,High
2022,9,4,2,Low
2022,9,11,4,High
2022,9,18,3,Moderate
2022,9,25,4,High
2022,10,2,4,High
2022,10,9,4,High
2022,10,16,5,Extreme
2022,10,23,2,Low
2022,10,30,1,Very Low
2023,4,24,1,Very Low
2023,5,1,2,Low
2023,5,8,1,Very Low
2023,5,15,3,Moderate
2023,5,22,3,Moderate
2023,5,29,4,High
2023,6,5,5,Extreme
2023,6,12,3,Moderate
2023,6,19,2,Low
2023,6,26,3,Moderate
2023,7,3,4,High
2023,7,10,5,Extreme
2023,7,17,5,Extreme
2023,7,24,2,Low
2023,7,31,3,Moderate
2023,8,7,3,Moderate
2023,8,14,3,Moderate
2023,8,21,4,High
2023,8,28,4,High
2023,9,4,4,High
2023,9,11,4,High
2023,9,18,3,Moderate
2023,9,25,1,Very Low
2023,10,2,1,Very Low
2023,10,9,1,Very Low
2023,10,16,1,Very Low
2023,10,23,1,Very Low
2023,10,30,2,Low
