date,year,carbon
1-Jan-23,2023,0.01
2-Jan-23,2023,0.02
3-Jan-23,2023,0.02
4-Jan-23,2023,0.02
5-Jan-23,2023,0.03
6-Jan-23,2023,0.08
7-Jan-23,2023,0.1
8-Jan-23,2023,0.12
9-Jan-23,2023,0.15
10-Jan-23,2023,0.17
11-Jan-23,2023,0.19
12-Jan-23,2023,0.22
13-Jan-23,2023,0.25
14-Jan-23,2023,0.27
15-Jan-23,2023,0.32
16-Jan-23,2023,0.36
17-Jan-23,2023,0.41
18-Jan-23,2023,0.47
19-Jan-23,2023,0.5
20-Jan-23,2023,0.52
21-Jan-23,2023,0.54
22-Jan-23,2023,0.55
23-Jan-23,2023,0.57
24-Jan-23,2023,0.6
25-Jan-23,2023,0.67
26-Jan-23,2023,0.75
27-Jan-23,2023,0.82
28-Jan-23,2023,0.9
29-Jan-23,2023,0.95
30-Jan-23,2023,0.98
31-Jan-23,2023,1.02
1-Feb-23,2023,1.05
2-Feb-23,2023,1.05
3-Feb-23,2023,1.07
4-Feb-23,2023,1.09
5-Feb-23,2023,1.11
6-Feb-23,2023,1.13
7-Feb-23,2023,1.15
8-Feb-23,2023,1.19
9-Feb-23,2023,1.22
10-Feb-23,2023,1.25
11-Feb-23,2023,1.25
12-Feb-23,2023,1.26
13-Feb-23,2023,1.27
14-Feb-23,2023,1.27
15-Feb-23,2023,1.28
16-Feb-23,2023,1.29
17-Feb-23,2023,1.3
18-Feb-23,2023,1.3
19-Feb-23,2023,1.31
20-Feb-23,2023,1.33
21-Feb-23,2023,1.34
22-Feb-23,2023,1.35
23-Feb-23,2023,1.38
24-Feb-23,2023,1.4
25-Feb-23,2023,1.43
26-Feb-23,2023,1.45
27-Feb-23,2023,1.46
28-Feb-23,2023,1.48
1-Mar-23,2023,1.5
2-Mar-23,2023,1.5
3-Mar-23,2023,1.5
4-Mar-23,2023,1.51
5-Mar-23,2023,1.51
6-Mar-23,2023,1.53
7-Mar-23,2023,1.53
8-Mar-23,2023,1.53
9-Mar-23,2023,1.54
10-Mar-23,2023,1.55
11-Mar-23,2023,1.55
12-Mar-23,2023,1.55
13-Mar-23,2023,1.55
14-Mar-23,2023,1.56
15-Mar-23,2023,1.56
16-Mar-23,2023,1.56
17-Mar-23,2023,1.57
18-Mar-23,2023,1.57
19-Mar-23,2023,1.57
20-Mar-23,2023,1.58
21-Mar-23,2023,1.58
22-Mar-23,2023,1.58
23-Mar-23,2023,1.58
24-Mar-23,2023,1.58
25-Mar-23,2023,1.58
26-Mar-23,2023,1.59
27-Mar-23,2023,1.59
28-Mar-23,2023,1.59
29-Mar-23,2023,1.6
30-Mar-23,2023,1.6
31-Mar-23,2023,1.6
1-Apr-23,2023,1.61
2-Apr-23,2023,1.61
3-Apr-23,2023,1.63
4-Apr-23,2023,1.64
5-Apr-23,2023,1.66
6-Apr-23,2023,1.66
7-Apr-23,2023,1.68
8-Apr-23,2023,1.7
9-Apr-23,2023,1.75
10-Apr-23,2023,1.79
11-Apr-23,2023,1.85
12-Apr-23,2023,1.92
13-Apr-23,2023,1.98
14-Apr-23,2023,2.06
15-Apr-23,2023,2.1
16-Apr-23,2023,2.13
17-Apr-23,2023,2.17
18-Apr-23,2023,2.22
19-Apr-23,2023,2.25
20-Apr-23,2023,2.27
21-Apr-23,2023,2.28
22-Apr-23,2023,2.29
23-Apr-23,2023,2.3
24-Apr-23,2023,2.3
25-Apr-23,2023,2.32
26-Apr-23,2023,2.35
27-Apr-23,2023,2.38
28-Apr-23,2023,2.4
29-Apr-23,2023,2.46
30-Apr-23,2023,2.5
1-May-23,2023,2.52
2-May-23,2023,2.55
3-May-23,2023,2.56
4-May-23,2023,3.85
