date,level,year
5/1/2015,145.64,2015
5/2/2015,145.783,2015
5/3/2015,145.836,2015
5/4/2015,145.838,2015
5/5/2015,145.839,2015
5/6/2015,145.83,2015
5/7/2015,145.827,2015
5/8/2015,145.82,2015
5/9/2015,145.81,2015
5/10/2015,145.805,2015
5/11/2015,145.802,2015
5/12/2015,145.848,2015
5/13/2015,145.859,2015
5/14/2015,145.85,2015
5/15/2015,145.828,2015
5/16/2015,145.795,2015
5/17/2015,145.75,2015
5/18/2015,145.716,2015
5/19/2015,145.668,2015
5/20/2015,145.6,2015
5/21/2015,145.548,2015
5/22/2015,145.494,2015
5/23/2015,145.431,2015
5/24/2015,145.347,2015
5/25/2015,145.254,2015
5/26/2015,145.149,2015
5/27/2015,145.025,2015
5/28/2015,144.889,2015
5/29/2015,144.746,2015
5/30/2015,144.596,2015
5/31/2015,144.434,2015
6/1/2015,144.259,2015
6/2/2015,144.109,2015
6/3/2015,143.978,2015
6/4/2015,143.877,2015
6/5/2015,143.757,2015
6/6/2015,143.616,2015
6/7/2015,143.467,2015
6/8/2015,143.278,2015
6/9/2015,143.048,2015
6/10/2015,142.8,2015
6/11/2015,142.602,2015
6/12/2015,142.419,2015
6/13/2015,142.225,2015
6/14/2015,142.029,2015
6/15/2015,141.812,2015
6/16/2015,141.588,2015
6/17/2015,141.362,2015
6/18/2015,141.155,2015
6/19/2015,141,2015
6/20/2015,140.836,2015
6/21/2015,140.657,2015
6/22/2015,140.433,2015
6/23/2015,140.19,2015
6/24/2015,139.977,2015
6/25/2015,139.765,2015
6/26/2015,139.5,2015
6/27/2015,139.194,2015
6/28/2015,138.887,2015
6/29/2015,138.602,2015
6/30/2015,138.3,2015
7/1/2015,138.029,2015
7/2/2015,137.762,2015
7/3/2015,137.495,2015
7/4/2015,137.228,2015
7/5/2015,136.965,2015
7/6/2015,136.672,2015
7/7/2015,136.409,2015
7/8/2015,136.172,2015
7/9/2015,135.95,2015
7/10/2015,135.846,2015
7/11/2015,135.86,2015
7/12/2015,135.889,2015
7/13/2015,135.865,2015
7/14/2015,135.814,2015
7/15/2015,135.764,2015
7/16/2015,135.746,2015
7/17/2015,135.735,2015
7/18/2015,135.709,2015
7/19/2015,135.685,2015
7/20/2015,135.641,2015
7/21/2015,135.583,2015
