date,mean_TA,min_TA,max_TA
10/1/2023,9.9,8.2,12.6
10/2/2023,6.2,5.1,9.4
10/3/2023,7,5.8,9.5
10/4/2023,7.2,5.8,8.8
10/5/2023,12.1,7.1,17.3
10/6/2023,17.7,15.5,20.8
10/7/2023,17.6,15,20
10/8/2023,13.8,12.1,16.1
10/9/2023,9.4,5.7,12.2
10/10/2023,4.5,3.5,5.7
10/11/2023,6.6,3.7,9.4
10/12/2023,9.4,6,13.3
10/13/2023,9.8,5.8,12.5
10/14/2023,6.3,5.9,6.9
10/15/2023,7.6,6.2,10
10/16/2023,8.1,3.4,11.4
10/17/2023,3.7,2.9,4.4
10/18/2023,6.8,4.2,10
10/19/2023,9.6,7.7,10.9
10/20/2023,8.5,6.9,10.2
10/21/2023,9.7,8.2,10.5
10/22/2023,7.7,3.1,10
10/23/2023,1.7,-1.3,4.5
10/24/2023,-1.7,-2.9,-0.9
10/25/2023,-1,-3.4,1.5
10/26/2023,-0.5,-2.7,2.4
10/27/2023,-1.9,-4.1,1.8
10/28/2023,0.9,-2.6,5
10/29/2023,4.6,1.6,7.8
10/30/2023,8.9,4.9,13.4
10/31/2023,7.7,4.6,10.6
11/1/2023,5.7,3.9,8
11/2/2023,6.4,4.8,7.5
11/3/2023,4.8,4.1,5.5
11/4/2023,6.8,4.4,8.8
11/5/2023,3.8,2.6,4.4
11/6/2023,2.9,2,3.9
11/7/2023,2,-0.7,3.8
11/8/2023,0.5,-0.7,1.4
11/9/2023,1.4,-0.8,4.3
11/10/2023,0.1,-0.1,0.3
11/11/2023,0.4,-0.6,1.6
11/12/2023,0,-1.2,1.8
11/13/2023,-0.2,-2.2,2.6
11/14/2023,-0.9,-2.7,2
11/15/2023,-1.1,-2.5,1.9
11/16/2023,-0.2,-2.4,3
11/17/2023,4.2,0.2,9.1
11/18/2023,6.3,2.5,8.7
11/19/2023,0.4,-1.5,2.5
11/20/2023,1.3,-2.2,5.5
11/21/2023,4.3,-0.3,7.2
11/22/2023,0.6,-0.5,2.6
11/23/2023,0,-2.1,2.7
11/24/2023,1.8,-0.2,4.1
11/25/2023,4.8,2.7,8.2
11/26/2023,5.5,3.9,7.4
11/27/2023,4.3,2.5,7.6
11/28/2023,1.4,-2.2,4.5
11/29/2023,-1.8,-3.4,1.2
11/30/2023,-2.3,-3.4,-0.8
12/1/2023,-2.3,-3.1,-0.6
12/2/2023,-1.2,-2.4,1.7
12/3/2023,-0.5,-1.7,1.2
12/4/2023,2.5,-0.1,6
12/5/2023,3.9,2.4,6.5
12/6/2023,1.8,-0.4,3.2
12/7/2023,-1,-3.6,0.6
12/8/2023,-3.3,-4.6,-1.2
12/9/2023,-3.2,-4.4,-1.1
12/10/2023,1.2,-1.1,3.4
12/11/2023,2.3,1.3,5.1
12/12/2023,3.5,1.3,5.8
12/13/2023,3.3,1.7,4.6
12/14/2023,0.1,-0.7,1.8
12/15/2023,3.3,1.3,5
12/16/2023,3.4,2.4,4.9
12/17/2023,5.8,2.9,8.5
12/18/2023,5.6,3.3,7.9
12/19/2023,4.7,3.7,5.9
12/20/2023,4,3.3,4.6
12/21/2023,3,2.2,3.5
12/22/2023,-0.2,-3.4,3.1
12/23/2023,-3.3,-4.5,-2.2
12/24/2023,-1.6,-3.4,0.6
12/25/2023,1,-2,4
12/26/2023,1.4,0.1,4.3
12/27/2023,3.5,0.8,6.1
12/28/2023,2.9,1.9,3.6
12/29/2023,6.9,3.2,9.8
12/30/2023,3.2,0.6,5.2
12/31/2023,0.6,-0.6,2.2
1/1/2024,0.2,-1.2,1.6
1/2/2024,1,0.1,2.1
1/3/2024,1,0.1,1.8
1/4/2024,-0.6,-2.1,0.5
1/5/2024,-1.8,-2,-1.3
1/6/2024,-2.7,-4.6,0.3
1/7/2024,-5,-7,-2.4
1/8/2024,-4.2,-6.3,-1.3
1/9/2024,-1.9,-3.9,-0.9
1/10/2024,-3.7,-5.9,0.1
1/11/2024,-11.8,-20.7,-5.9
1/12/2024,-20.2,-22.7,-17.3
1/13/2024,-8.9,-17.3,-4
1/14/2024,-6.8,-9.3,-4.1
1/15/2024,-3.2,-6.1,1
1/16/2024,-1.4,-2.8,0.4
1/17/2024,-5.3,-8.2,-2
1/18/2024,-3.7,-7.9,-0.4
1/19/2024,1.3,-0.4,3.7
1/20/2024,5.8,2.6,8.1
1/21/2024,1.2,0.2,2.6
1/22/2024,1.7,0.5,2.6
1/23/2024,1.6,0.4,3.1
1/24/2024,0.2,-0.5,0.9
1/25/2024,0.3,-0.4,1.1
1/26/2024,1.7,0.3,3.4
1/27/2024,4.9,2.9,6.2
1/28/2024,6.1,4.4,8.2
1/29/2024,7.2,5.4,8.3
1/30/2024,6.1,5.3,7.8
1/31/2024,5.7,4.6,7.8
2/1/2024,3.3,2.1,4.7
2/2/2024,1.3,0.2,2.1
2/3/2024,1.1,-0.1,3.3
2/4/2024,0.3,-0.7,1.4
2/5/2024,0.3,-1,2.3
2/6/2024,-0.8,-2.5,2.6
2/7/2024,-0.9,-3.2,2.7
2/8/2024,-2.2,-4.5,0.2
2/9/2024,-2.4,-4.6,0.4
2/10/2024,-1.7,-3.4,-0.1
2/11/2024,0.1,-1,1.9
2/12/2024,1,-0.6,4.6
