Site,Lat,Long,precip
Lower Capilano FW,49.38694,-123.11968,2442
Capilano FW,49.44496,-123.10402,3546
Capilano mid-valley,49.45379,-123.11012,3601
Enchantment Cr.,49.48524,-123.12674,3145
Lower Seymour FW,49.37925,-122.99552,2483
Seymour FW,49.48584,-122.94626,2975
Seymour at Orchid ,49.52026,-123.00398,3596
Orchid Lake,49.53588,-123.05076,4019
Palisade Lake,49.45446,-123.03179,4291
Coquitlam FW,49.36409,-122.75339,2085
Cedar Creek,49.38081,-122.77678,3022
Disappointment Lake,49.55448,-122.75861,4140
Squamish,49.78321,-123.16119,1747
DNV Fire Hall 4,49.31557,-122.96305,1742
Grouse Mountain ,49.38003,-123.08069,2345
DNV Muni. Hall,49.3362,-123.07815,1645
Burns Bog,49.1258,-123.0022,876
Pitt Meadows,49.2083,-122.69,1259
Van Harbour,49.2954,-123.1219,1161
Van Sea Island,49.1825,-123.1872,822
ECCC - West Van,49.34704,-123.19331,1586
Hastings Creek,49.35889,-123.0356,2098
Westwood Plateau,49.31067,-122.8086,1704
WV Muni. Hall,49.33123,-123.15971,1450
Seymour Falls Dam,49.44029,-122.96769,3075
Port Moody ,49.28021,-122.83411,1537
Maple Ridge ,49.2207,-122.53886,1230
DNV LV Firehall,49.3347,-123.04354,1687
Burke Mtn Firehall,49.29529,-122.7426,1514
Central Park ,49.22541,-123.01327,1224
Cleveland Dam,49.36032,-123.11064,1687
Coquitlam Dam,49.35326,-122.77482,2503
Seycove Marina,49.33192,-122.9396,1776
Cypress Mountain,49.40431,-123.19144,2702
Porteau Cove,49.5467,-123.23985,1986
Eagle Ridge - WV,49.37186,-123.26969,1426
Mount Seymour,49.3669,-122.9481,2350
