datetime,temp,rh
4/15/1988,11.8,82
4/16/1988,10.4,85
4/17/1988,8.6,89
4/18/1988,11.5,76
4/19/1988,17,52
4/20/1988,18.7,38
4/21/1988,17.8,44
4/22/1988,13.5,61
4/23/1988,8.7,79
4/24/1988,5.7,87
4/25/1988,10.4,73
4/26/1988,13.5,59
4/27/1988,13.5,59
4/28/1988,11.7,73
4/29/1988,7.4,88
4/30/1988,4.6,83
5/1/1988,7.1,75
5/2/1988,5.3,83
5/3/1988,9.1,78
5/4/1988,12.1,68
5/5/1988,13,66
5/6/1988,12.4,71
5/7/1988,16.9,56
5/8/1988,17.9,53
5/9/1988,14.9,64
5/10/1988,22.1,43
5/11/1988,24.9,37
5/12/1988,25.3,34
5/13/1988,17.1,59
5/14/1988,10.5,83
5/15/1988,12.2,84
5/16/1988,10.7,84
5/17/1988,8.1,85
5/18/1988,9.5,82
5/19/1988,11.7,70
5/20/1988,12.9,60
5/21/1988,13.8,66
5/22/1988,10.2,80
5/23/1988,7.3,85
5/24/1988,8.8,83
5/25/1988,10,74
5/26/1988,12.7,63
5/27/1988,11.9,74
5/28/1988,10.4,83
5/29/1988,10.5,77
5/30/1988,12.8,69
5/31/1988,10.9,78
6/1/1988,7.2,85
6/2/1988,9.1,83
6/3/1988,10.8,83
6/4/1988,12.3,78
6/5/1988,12,79
6/6/1988,10.3,83
6/7/1988,11.8,82
6/8/1988,15.3,67
6/9/1988,16.9,58
6/10/1988,13.6,72
6/11/1988,14.5,73
6/12/1988,18.3,59
6/13/1988,23.2,43
6/14/1988,26.3,34
6/15/1988,24.9,39
6/16/1988,21.9,49
6/17/1988,16.2,67
6/18/1988,15.9,71
6/19/1988,19.1,57
6/20/1988,20.2,54
6/21/1988,20.4,51
6/22/1988,18.4,67
6/23/1988,16.8,63
6/24/1988,22.1,42
6/25/1988,24.5,39
6/26/1988,19.1,55
6/27/1988,13.2,70
6/28/1988,13.8,65
6/29/1988,14.2,66
6/30/1988,15.3,60
7/1/1988,13.5,73
7/2/1988,14.9,82
7/3/1988,13.2,80
7/4/1988,13.6,73
7/5/1988,12,79
7/6/1988,14.7,80
7/7/1988,20.9,62
7/8/1988,23.1,47
7/9/1988,22.5,41
7/10/1988,21.7,49
7/11/1988,16.1,72
7/12/1988,14,85
7/13/1988,16.6,74
7/14/1988,16.4,66
7/15/1988,17.9,63
7/16/1988,20.4,53
7/17/1988,23.1,44
7/18/1988,27.7,34
7/19/1988,30.1,27
7/20/1988,30.2,26
7/21/1988,26.5,39
7/22/1988,21.3,59
7/23/1988,23.2,45
7/24/1988,26,32
7/25/1988,27.5,43
7/26/1988,27.8,36
7/27/1988,25.7,37
7/28/1988,20.9,47
7/29/1988,23.8,49
7/30/1988,22.8,55
7/31/1988,20.3,65
8/1/1988,21.7,54
8/2/1988,24.6,41
8/3/1988,25.3,36
8/4/1988,24.9,39
8/5/1988,19.2,64
8/6/1988,14.2,82
8/7/1988,16.7,72
8/8/1988,17.2,68
8/9/1988,16.6,76
8/10/1988,20,70
8/11/1988,22.2,59
8/12/1988,21.8,58
8/13/1988,19.6,62
8/14/1988,17.7,68
8/15/1988,15.1,78
8/16/1988,13.7,84
8/17/1988,14.7,81
8/18/1988,15.4,79
8/19/1988,15.8,80
8/20/1988,16.4,76
8/21/1988,22.8,56
8/22/1988,27.2,39
8/23/1988,29.7,32
8/24/1988,30.3,33
8/25/1988,24.4,50
8/26/1988,24.1,57
8/27/1988,26.2,50
8/28/1988,27.1,42
8/29/1988,24.1,48
8/30/1988,21.3,55
8/31/1988,24.6,47
9/1/1988,29.2,32
9/2/1988,32.6,18
9/3/1988,33.8,13
9/4/1988,30.7,26
9/5/1988,24.4,51
9/6/1988,17,74
9/7/1988,17.8,65
9/8/1988,17.4,59
9/9/1988,16.2,59
9/10/1988,18.8,43
9/11/1988,22.7,34
9/12/1988,26,34
9/13/1988,27.2,33
9/14/1988,26.7,33
9/15/1988,18.4,59
9/16/1988,12.6,77
9/17/1988,13.6,72
9/18/1988,12.1,71
9/19/1988,13.2,74
9/20/1988,16.6,62
9/21/1988,16.5,65
9/22/1988,13.7,75
9/23/1988,10,86
9/24/1988,10.3,83
9/25/1988,10.1,83
9/26/1988,11,85
9/27/1988,11.6,81
9/28/1988,14.9,66
9/29/1988,20.2,44
9/30/1988,21.5,55
10/1/1988,23.6,49
10/2/1988,23.9,50
10/3/1988,20.8,63
10/4/1988,15,83
10/5/1988,17.8,71
10/6/1988,18,67
10/7/1988,17.3,71
10/8/1988,18.8,52
10/9/1988,22.7,31
10/10/1988,23.3,31
10/11/1988,18.4,54
10/12/1988,15.3,76
10/13/1988,13.9,79
10/14/1988,11.3,82
10/15/1988,10.7,83
10/16/1988,10.7,82
10/17/1988,10.6,82
10/18/1988,10.6,81
10/19/1988,10.5,81
10/20/1988,10.4,81
10/21/1988,10.4,80
10/22/1988,10.3,80
10/23/1988,10.3,79
10/24/1988,10.2,79
10/25/1988,10.1,78
10/26/1988,10.1,78
10/27/1988,10,77
10/28/1988,10,77
10/29/1988,9.9,76
10/30/1988,9.8,76
10/31/1988,9.8,75
6/15/1991,9.6,94
6/16/1991,10.2,89
6/17/1991,14.8,83
6/18/1991,19.4,66
6/19/1991,27.4,24
6/20/1991,15.1,64
6/21/1991,12,92
6/22/1991,12.1,94
6/23/1991,14.4,90
6/24/1991,21,69
6/25/1991,16.1,82
6/26/1991,14.8,86
6/27/1991,22.6,60
6/28/1991,23.9,58
6/29/1991,19.4,69
6/30/1991,18.4,71
7/1/1991,24.7,49
7/2/1991,27,45
7/3/1991,26.1,50
7/4/1991,23.2,48
7/5/1991,20.4,49
7/6/1991,23.2,44
7/7/1991,25.6,40
7/8/1991,25.4,43
7/9/1991,23.2,55
7/10/1991,17.6,71
7/11/1991,22.6,42
7/12/1991,21.5,76
7/13/1991,18.3,85
7/14/1991,20.4,60
7/15/1991,12.7,99
7/16/1991,18.7,73
7/17/1991,14.3,91
7/18/1991,17.5,75
7/19/1991,17.9,75
7/20/1991,16.9,70
7/21/1991,20.5,63
7/22/1991,29.2,40
7/23/1991,34.2,24
7/24/1991,27.6,42
7/25/1991,15.7,91
7/26/1991,15.6,81
7/27/1991,20,70
7/28/1991,23.1,60
7/29/1991,21.4,59
7/30/1991,24.2,49
7/31/1991,26.1,40
8/1/1991,23.7,50
8/2/1991,25.1,54
8/3/1991,25.9,51
8/4/1991,25.7,51
8/5/1991,22.1,67
8/6/1991,20.4,78
