datetime,DGR,rating
1/1/2015,1,Very Low
1/2/2015,1,Very Low
1/3/2015,1,Very Low
1/4/2015,1,Very Low
1/5/2015,1,Very Low
1/6/2015,1,Very Low
1/7/2015,1,Very Low
1/8/2015,1,Very Low
1/9/2015,1,Very Low
1/10/2015,1,Very Low
1/11/2015,1,Very Low
1/12/2015,1,Very Low
1/13/2015,1,Very Low
1/14/2015,1,Very Low
1/15/2015,1,Very Low
1/16/2015,1,Very Low
1/17/2015,1,Very Low
1/18/2015,1,Very Low
1/19/2015,1,Very Low
1/20/2015,1,Very Low
1/21/2015,1,Very Low
1/22/2015,1,Very Low
1/23/2015,1,Very Low
1/24/2015,1,Very Low
1/25/2015,1,Very Low
1/26/2015,1,Very Low
1/27/2015,1,Very Low
1/28/2015,1,Very Low
1/29/2015,1,Very Low
1/30/2015,1,Very Low
1/31/2015,1,Very Low
2/1/2015,1,Very Low
2/2/2015,1,Very Low
2/3/2015,1,Very Low
2/4/2015,1,Very Low
2/5/2015,1,Very Low
2/6/2015,1,Very Low
2/7/2015,1,Very Low
2/8/2015,1,Very Low
2/9/2015,1,Very Low
2/10/2015,1,Very Low
2/11/2015,1,Very Low
2/12/2015,1,Very Low
2/13/2015,1,Very Low
2/14/2015,1,Very Low
2/15/2015,1,Very Low
2/16/2015,1,Very Low
2/17/2015,1,Very Low
2/18/2015,2,Low
2/19/2015,1,Very Low
2/20/2015,1,Very Low
2/21/2015,1,Very Low
2/22/2015,1,Very Low
2/23/2015,2,Low
2/24/2015,2,Low
2/25/2015,2,Low
2/26/2015,1,Very Low
2/27/2015,1,Very Low
2/28/2015,1,Very Low
3/1/2015,1,Very Low
3/2/2015,2,Low
3/3/2015,2,Low
3/4/2015,2,Low
3/5/2015,2,Low
3/6/2015,2,Low
3/7/2015,2,Low
3/8/2015,2,Low
3/9/2015,2,Low
3/10/2015,2,Low
3/11/2015,1,Very Low
3/12/2015,1,Very Low
3/13/2015,1,Very Low
3/14/2015,1,Very Low
3/15/2015,1,Very Low
3/16/2015,1,Very Low
3/17/2015,1,Very Low
3/18/2015,1,Very Low
3/19/2015,1,Very Low
3/20/2015,1,Very Low
3/21/2015,1,Very Low
3/22/2015,1,Very Low
3/23/2015,1,Very Low
3/24/2015,1,Very Low
3/25/2015,1,Very Low
3/26/2015,1,Very Low
3/27/2015,1,Very Low
3/28/2015,1,Very Low
3/29/2015,1,Very Low
3/30/2015,1,Very Low
3/31/2015,1,Very Low
4/1/2015,1,Very Low
4/2/2015,1,Very Low
4/3/2015,1,Very Low
4/4/2015,1,Very Low
4/5/2015,1,Very Low
4/6/2015,1,Very Low
4/7/2015,2,Low
4/8/2015,2,Low
4/9/2015,2,Low
4/10/2015,2,Low
4/11/2015,1,Very Low
4/12/2015,1,Very Low
4/13/2015,1,Very Low
4/14/2015,1,Very Low
4/15/2015,1,Very Low
4/16/2015,1,Very Low
4/17/2015,2,Low
4/18/2015,2,Low
4/19/2015,2,Low
4/20/2015,2,Low
4/21/2015,2,Low
4/22/2015,1,Very Low
4/23/2015,1,Very Low
4/24/2015,1,Very Low
4/25/2015,1,Very Low
4/26/2015,1,Very Low
4/27/2015,1,Very Low
4/28/2015,1,Very Low
4/29/2015,1,Very Low
4/30/2015,1,Very Low
5/1/2015,1,Very Low
5/2/2015,1,Very Low
5/3/2015,1,Very Low
5/4/2015,2,Low
5/5/2015,1,Very Low
5/6/2015,1,Very Low
5/7/2015,1,Very Low
5/8/2015,2,Low
5/9/2015,2,Low
5/10/2015,2,Low
5/11/2015,2,Low
5/12/2015,2,Low
5/13/2015,2,Low
5/14/2015,2,Low
5/15/2015,2,Low
5/16/2015,2,Low
5/17/2015,2,Low
5/18/2015,2,Low
5/19/2015,2,Low
5/20/2015,2,Low
5/21/2015,3,Moderate
5/22/2015,3,Moderate
5/23/2015,2,Low
5/24/2015,2,Low
5/25/2015,2,Low
5/26/2015,2,Low
5/27/2015,2,Low
5/28/2015,2,Low
5/29/2015,2,Low
5/30/2015,3,Moderate
5/31/2015,3,Moderate
