Site,Lat,Long
Lower Capilano Fire Weather,49.38694,-123.11968
Capilano River at Lakehead,49.39647,-123.14542
Capilano Fire Weather,49.44496,-123.10402
Lower Seymour Fire Weather,49.37925,-122.99552
Seymour Fire Weather,49.48584,-122.94626
Seymour River at Orchid,49.52026,-123.00398
Orchid Lake,49.53588,-123.05076
Palisade Lake,49.45446,-123.03179
Burwell Lake,49.4575,-122.995
Loch Lomond,49.58988,-123.0375
Coquitlam Fire Weather,49.36409,-122.75339
Disappointment Lake,49.55448,-122.75861
Coquitlam Glacier,49.5075,-122.7202
