year,month,day,grouse_depth,grouse_swe,grouse_density,dog_depth,dog_swe,dog_density,orchid_depth,orchid_swe,orchid_density,disappointment_depth,disappointment_swe,disappointment_density,palisade_depth,palisade_swe,palisade_density,snowline,enso_phase,enso_oni,enso_oni_main,pdo_phase,pdo_anomaly,pdo_phase_main,sca_%
1936,1,1,,,,,,,,,,,,,,,,,neutral,0.2,neutral,positive,2.17,positive,
1936,2,1,,,,,,,,,,,,,,,,,neutral,0.3,neutral,positive,1.6,positive,
1936,3,1,,,,,,,,,,,,,,,,,neutral,0.5,neutral,positive,1.19,positive,
1936,4,1,320,1316,41.13,,,,,,,,,,,,,,neutral,0.4,neutral,positive,1.19,positive,
1936,5,1,,,,,,,,,,,,,,,,,neutral,0.4,neutral,positive,1.64,positive,
1936,5,15,,,,,,,,,,,,,,,,,neutral,0.4,neutral,positive,2.24,positive,
1936,6,1,,,,,,,,,,,,,,,,,neutral,0.3,neutral,positive,2.24,positive,
1936,6,15,,,,,,,,,,,,,,,,,neutral,0.3,neutral,positive,2.56,positive,
1937,1,1,,,,,,,,,,,,,,,,,neutral,-0.1,neutral,positive,0.06,positive,
1937,2,1,,,,,,,,,,,,,,,,,neutral,-0.3,neutral,negative,-0.45,positive,
1937,3,1,,,,,,,,,,,,,,,,,neutral,-0.1,neutral,negative,-0.28,positive,
1937,4,1,239,1143,47.82,,,,,,,,,,,,,,neutral,0.1,neutral,negative,-0.69,positive,
1937,5,1,,,,,,,,,,,,,,,,,neutral,0.2,neutral,negative,-0.39,positive,
1937,5,15,,,,,,,,,,,,,,,,,neutral,0.2,neutral,positive,0.56,positive,
1937,6,1,,,,,,,,,,,,,,,,,neutral,0,neutral,positive,1.16,positive,
1937,6,15,,,,,,,,,,,,,,,,,neutral,0,neutral,positive,0.1,positive,
1938,1,1,,,,,,,,,,,,,,,,,negative,-0.6,negative,positive,1.53,positive,
1938,2,1,,,,,,,,,,,,,,,,,negative,-0.8,negative,positive,0.28,positive,
1938,3,1,,,,,,,,,,,,,,,,,negative,-0.7,negative,negative,-0.45,positive,
1938,4,1,292,1229,42.09,,,,,,,,,,,,,,negative,-0.8,negative,negative,-0.22,positive,
1938,5,1,,,,,,,,,,,,,,,,,negative,-0.5,negative,negative,-0.59,positive,
1938,5,15,,,,,,,,,,,,,,,,,negative,-0.5,negative,negative,-0.62,positive,
1938,6,1,,,,,,,,,,,,,,,,,negative,-0.6,negative,negative,-0.62,positive,
1938,6,15,,,,,,,,,,,,,,,,,negative,-0.6,negative,negative,-0.63,positive,
1939,1,1,,,,,,,,,,,,,,,,,negative,-0.9,negative,positive,1.17,positive,
