date,SWC,wyr
1/1/2022,395148.7785,2021-22
1/2/2022,394073.8062,2021-22
1/3/2022,394095.4152,2021-22
1/4/2022,393227.3806,2021-22
1/5/2022,392325.0138,2021-22
1/6/2022,391288.1869,2021-22
1/7/2022,394983.5087,2021-22
1/8/2022,394416.301,2021-22
1/9/2022,393550.7682,2021-22
1/10/2022,392670.4394,2021-22
1/11/2022,397391.7232,2021-22
1/12/2022,408218.8754,2021-22
1/13/2022,416244.9446,2021-22
1/14/2022,415782.5917,2021-22
1/15/2022,415725.0415,2021-22
1/16/2022,414839.391,2021-22
1/17/2022,413283.0692,2021-22
1/18/2022,412813.7336,2021-22
1/19/2022,412886.9239,2021-22
1/20/2022,419051.1419,2021-22
1/21/2022,420737.0104,2021-22
1/22/2022,419320.955,2021-22
1/23/2022,417622.5225,2021-22
1/24/2022,415717.917,2021-22
1/25/2022,413904.6159,2021-22
1/26/2022,412116.9965,2021-22
1/27/2022,410381.481,2021-22
1/28/2022,408727.9343,2021-22
1/29/2022,407117.4048,2021-22
1/30/2022,407462.0761,2021-22
1/31/2022,410384.8789,2021-22
2/1/2022,408992.083,2021-22
2/2/2022,407540.9792,2021-22
2/3/2022,406132.3218,2021-22
2/4/2022,405671.0519,2021-22
2/5/2022,408141.3322,2021-22
2/6/2022,407743.1176,2021-22
2/7/2022,407716.4429,2021-22
2/8/2022,408643.5433,2021-22
2/9/2022,409758.1073,2021-22
2/10/2022,410019.0519,2021-22
2/11/2022,410017.6782,2021-22
2/12/2022,409217.2664,2021-22
2/13/2022,408901.2664,2021-22
2/14/2022,408539.5986,2021-22
2/15/2022,409499.0588,2021-22
2/16/2022,408794.7785,2021-22
2/17/2022,408441.7093,2021-22
2/18/2022,408391.5052,2021-22
2/19/2022,408866.6263,2021-22
2/20/2022,410607.9965,2021-22
2/21/2022,409864.0069,2021-22
2/22/2022,408505.4637,2021-22
2/23/2022,407122.2803,2021-22
2/24/2022,405811.6713,2021-22
2/25/2022,404547.1488,2021-22
2/26/2022,403296.7197,2021-22
2/27/2022,404373.1626,2021-22
2/28/2022,411122.8166,2021-22
3/1/2022,415412.8512,2021-22
3/2/2022,420383.9066,2021-22
3/3/2022,421358.2284,2021-22
3/4/2022,420527.4152,2021-22
3/5/2022,419315.7405,2021-22
3/6/2022,417230.7889,2021-22
3/7/2022,415685.1073,2021-22
3/8/2022,414466.9689,2021-22
3/9/2022,414572.436,2021-22
3/10/2022,412494.1453,2021-22
3/11/2022,410646.0381,2021-22
3/12/2022,409853.436,2021-22
3/13/2022,410191.8858,2021-22
3/14/2022,414519.5156,2021-22
3/15/2022,420477.7716,2021-22
3/16/2022,421752.7232,2021-22
3/17/2022,421090.6055,2021-22
3/18/2022,421755.2526,2021-22
3/19/2022,424412.3183,2021-22
3/20/2022,423881.5156,2021-22
3/21/2022,424620.4567,2021-22
