date,mean_TA,min_TA,max_TA,rain,rain_cum_yr,rain_cum_wyr,wtr_yr_day,wtr_yr,year,month,day,DOY,mean,max,min,std,sem,ci95_hi,ci95_lo
2003-10-30,4.3,-0.1,9.1,0.0,1951.76,550.78,30,2004,2003,10,30,303,6.966666666666667,10.9,0.4,2.738491068697018,0.5975877434411714,8.137938643811363,5.795394689521971
2003-10-31,1.4,-2.2,6.9,0.0,1951.76,550.78,31,2004,2003,10,31,304,6.719047619047619,10.3,0.2,2.654923548356722,0.5793518154602586,7.854577177349726,5.583518060745512
2003-11-01,0.9,-1.6,4.9,0.0,1951.76,550.78,32,2004,2003,11,1,305,6.276190476190477,11.5,0.9,2.909966453742167,0.6350067401931282,7.520803686969009,5.031577265411945
2003-11-02,2.2,-1.8,9.8,0.0,1951.76,550.78,33,2004,2003,11,2,306,6.395238095238096,11.7,2.2,2.8464848832333876,0.621153925807835,7.612699789821452,5.177776400654739
2003-11-03,1.0,-2.3,7.2,0.0,1951.76,550.78,34,2004,2003,11,3,307,6.39047619047619,10.3,0.0,3.454837877803351,0.7539074328016405,7.868134758767406,4.912817622184974
2003-11-04,-0.1,-2.8,6.7,0.0,1951.76,550.78,35,2004,2003,11,4,308,6.438095238095237,11.8,-1.5,3.9626350059620927,0.864717850776337,8.132942225616858,4.743248250573616
2003-11-05,-0.6,-3.5,6.0,0.0,1951.76,550.78,36,2004,2003,11,5,309,6.3619047619047615,12.4,-0.6,3.509911137119598,0.7659254032580517,7.863118552290543,4.86069097151898
2003-11-06,0.2,-3.2,7.7,0.0,1951.76,550.78,37,2004,2003,11,6,310,5.885714285714285,12.4,-0.7,3.4534454844815077,0.7536035876685692,7.362777317544681,4.40865125388389
2003-11-07,2.4,-1.8,9.0,0.0,1951.76,550.78,38,2004,2003,11,7,311,5.942857142857143,9.4,0.8,2.568379144240863,0.5604662781823647,7.041371048094578,4.844343237619708
2003-11-13,3.6,0.0,11.0,0.5,1973.07,572.09,44,2004,2003,11,13,317,4.795238095238095,9.9,-0.6,2.7109917355971764,0.5915868969892272,5.95474841333698,3.63572777713921
2003-11-19,2.3,-0.2,5.3,51.31,2184.12,783.14,50,2004,2003,11,19,323,3.9000000000000004,7.7,-0.9,2.485960578931211,0.5424810727442151,4.963262902578662,2.836737097421339
2003-11-20,0.2,-1.8,4.2,3.8,2187.92,786.94,51,2004,2003,11,20,324,3.2666666666666666,6.7,-1.8,2.7275141307302757,0.5951923791968176,4.433243729892429,2.100089603440904
2003-11-21,-1.5,-3.2,0.7,0.25,2188.17,787.19,52,2004,2003,11,21,325,3.5857142857142854,8.9,-2.6,3.0780327669285326,0.6716818164763985,4.902210646008026,2.2692179254205445
2003-11-22,-1.2,-2.8,0.1,0.0,2188.17,787.19,53,2004,2003,11,22,326,3.4142857142857146,11.0,-6.6,3.4527214938777955,0.7534455999664764,4.8910390902200085,1.937532338351421
2003-11-23,0.7,-0.7,4.0,0.0,2188.17,787.19,54,2004,2003,11,23,327,3.223809523809524,8.5,-8.4,3.170316192732952,0.6918197109591886,4.579776157289533,1.8678428903295143
2003-11-24,0.6,-1.0,3.5,22.09,2210.26,809.28,55,2004,2003,11,24,328,3.1809523809523808,6.5,-6.5,2.8421152417907067,0.6202003918711254,4.396545149019786,1.965359612884975
2003-11-26,1.6,-0.3,5.5,27.92,2238.18,837.2,57,2004,2003,11,26,330,3.619047619047619,8.4,-0.7,2.5566812565548815,0.5579135898113122,4.712558255077791,2.5255369830174472
2003-11-29,2.9,-0.5,4.8,112.26,2357.79,956.81,60,2004,2003,11,29,333,1.9904761904761903,9.0,-5.4,3.7563153171565298,0.8196952035710405,3.5970787894754297,0.3838735914769509
2003-11-30,0.5,-1.1,6.2,1.01,2358.8,957.82,61,2004,2003,11,30,334,2.3190476190476192,8.4,-4.3,3.5112133298361474,0.7662095650053378,3.8208183664580813,0.8172768716371572
2004-11-13,7.4,-0.3,8.0,4.83,2156.42,540.62,44,2005,2004,11,13,318,4.776190476190476,7.9,-0.7,2.5145386777508043,0.5487173251755825,5.851676433534617,3.700704518846335
2004-11-21,1.8,-0.5,4.9,5.08,2258.51,642.71,52,2005,2004,11,21,326,3.4142857142857146,11.0,-6.6,3.4527214938777955,0.7534455999664764,4.8910390902200085,1.937532338351421
2004-11-22,5.0,-0.5,3.5,1.51,2260.02,644.22,53,2005,2004,11,22,327,3.223809523809524,8.5,-8.4,3.170316192732952,0.6918197109591886,4.579776157289533,1.8678428903295143
2004-11-28,-0.2,-0.8,6.8,0.25,2415.94,800.14,59,2005,2004,11,28,333,1.9904761904761903,9.0,-5.4,3.7563153171565298,0.8196952035710405,3.5970787894754297,0.3838735914769509
2004-11-29,0.0,-1.8,3.3,0.76,2416.7,800.9,60,2005,2004,11,29,334,2.3190476190476192,8.4,-4.3,3.5112133298361474,0.7662095650053378,3.8208183664580813,0.8172768716371572
2004-11-30,0.1,-1.4,0.9,2.28,2418.98,803.18,61,2005,2004,11,30,335,2.4,9.6,-4.0,3.8077552442351124,0.8309203159320221,4.028603819226763,0.7713961807732366
2005-11-14,1.6,-0.6,6.6,8.88,2808.99,723.89,45,2006,2005,11,14,318,4.776190476190476,7.9,-0.7,2.5145386777508043,0.5487173251755825,5.851676433534617,3.700704518846335
2005-11-26,1.4,-1.1,6.1,10.4,2829.76,744.66,57,2006,2005,11,26,330,3.619047619047619,8.4,-0.7,2.5566812565548815,0.5579135898113122,4.712558255077791,2.5255369830174472
2005-11-27,0.5,-1.2,2.9,0.25,2830.01,744.91,58,2006,2005,11,27,331,3.1380952380952385,10.3,-5.2,3.525829858412937,0.7693991530339389,4.646117578041759,1.6300728981487183
2005-11-28,-0.6,-2.1,0.8,2.29,2832.3,747.2,59,2006,2005,11,28,332,2.3285714285714283,9.8,-8.6,3.740339938714509,0.8162090901917012,3.9283412453471627,0.7288016117956939
2005-11-29,0.1,-0.1,0.5,0.25,2832.55,747.45,60,2006,2005,11,29,333,1.9904761904761903,9.0,-5.4,3.7563153171565298,0.8196952035710405,3.5970787894754297,0.3838735914769509
2005-11-30,0.1,-2.5,4.1,0.0,2832.55,747.45,61,2006,2005,11,30,334,2.3190476190476192,8.4,-4.3,3.5112133298361474,0.7662095650053378,3.8208183664580813,0.8172768716371572
2006-10-29,3.4,-2.0,8.7,12.71,1813.13,238.91,29,2007,2006,10,29,302,6.976190476190476,11.2,2.1,2.555954765230551,0.5577550564072421,8.06939038674867,5.882990565632282
2006-10-30,0.4,-2.9,6.2,1.27,1814.4,240.18,30,2007,2006,10,30,303,6.966666666666667,10.9,0.4,2.738491068697018,0.5975877434411714,8.137938643811363,5.795394689521971
2006-10-31,0.2,-3.7,8.0,0.0,1814.4,240.18,31,2007,2006,10,31,304,6.719047619047619,10.3,0.2,2.654923548356722,0.5793518154602586,7.854577177349726,5.583518060745512
2006-11-01,2.0,-2.1,7.9,0.0,1814.4,240.18,32,2007,2006,11,1,305,6.276190476190477,11.5,0.9,2.909966453742167,0.6350067401931282,7.520803686969009,5.031577265411945
2006-11-24,1.2,-0.6,2.7,33.51,2641.55,1067.33,55,2007,2006,11,24,328,3.1809523809523808,6.5,-6.5,2.8421152417907067,0.6202003918711254,4.396545149019786,1.965359612884975
2006-11-25,-0.6,-1.5,0.3,4.31,2645.86,1071.64,56,2007,2006,11,25,329,3.5666666666666664,8.2,-2.4,2.7610384519838425,0.6025079858523644,4.747582318937301,2.385751014396032
2006-11-26,-0.7,-3.0,0.4,0.0,2645.86,1071.64,57,2007,2006,11,26,330,3.619047619047619,8.4,-0.7,2.5566812565548815,0.5579135898113122,4.712558255077791,2.5255369830174472
2006-11-27,-5.2,-9.2,-2.8,0.0,2645.86,1071.64,58,2007,2006,11,27,331,3.1380952380952385,10.3,-5.2,3.525829858412937,0.7693991530339389,4.646117578041759,1.6300728981487183
2006-11-28,-8.6,-10.9,-2.0,0.0,2645.86,1071.64,59,2007,2006,11,28,332,2.3285714285714283,9.8,-8.6,3.740339938714509,0.8162090901917012,3.9283412453471627,0.7288016117956939
2006-11-29,-5.4,-10.6,-1.0,0.76,2646.62,1072.4,60,2007,2006,11,29,333,1.9904761904761903,9.0,-5.4,3.7563153171565298,0.8196952035710405,3.5970787894754297,0.3838735914769509
2006-11-30,-0.6,-2.5,2.6,0.0,2646.62,1072.4,61,2007,2006,11,30,334,2.3190476190476192,8.4,-4.3,3.5112133298361474,0.7662095650053378,3.8208183664580813,0.8172768716371572
2007-11-18,2.6,-0.1,7.8,19.55,2814.02,727.7,49,2008,2007,11,18,322,4.333333333333333,9.2,0.7,2.419986225856117,0.5280842886064836,5.368378539002041,3.298288127664625
