year,count_high,type
2003,41,Heat
2004,43,Heat
2005,26,Heat
2006,37,Heat
2007,26,Heat
2008,30,Heat
2009,37,Heat
2010,25,Heat
2011,21,Heat
2012,29,Heat
2013,38,Heat
2014,41,Heat
2015,47,Heat
2016,29,Heat
2017,43,Heat
2018,41,Heat
2019,29,Heat
2020,34,Heat
2021,47,Heat
2022,59,Heat
2023,56,Heat
2003,54,Frost
2004,27,Frost
2005,60,Frost
2006,50,Frost
2007,69,Frost
2008,71,Frost
2009,88,Frost
2010,34,Frost
2011,82,Frost
2012,54,Frost
2013,66,Frost
2014,56,Frost
2015,35,Frost
2016,42,Frost
2017,70,Frost
2018,48,Frost
2019,62,Frost
2020,54,Frost
2021,61,Frost
2022,76,Frost
2023,44,Frost
