index,high,DOY
0,7.5,1
1,7.1,2
2,6.4,3
3,7.4,4
4,7.7,5
5,8.7,6
6,6.4,7
7,6.1,8
8,7.5,9
9,7.8,10
10,9.8,11
11,8.7,12
12,9.1,13
13,7.8,14
14,7.2,15
15,6.8,16
16,7.0,17
17,7.3,18
18,8.9,19
19,8.3,20
20,8.0,21
21,9.2,22
22,9.0,23
23,9.3,24
24,9.3,25
25,9.4,26
26,9.5,27
27,7.8,28
28,6.9,29
29,6.1,30
30,7.5,31
31,6.4,32
32,6.6,33
33,7.6,34
34,6.4,35
35,9.0,36
36,10.4,37
37,9.1,38
38,8.7,39
39,8.5,40
40,8.4,41
41,8.0,42
42,8.3,43
43,10.1,44
44,7.5,45
45,8.1,46
46,6.7,47
47,7.0,48
48,7.4,49
49,7.7,50
50,5.8,51
51,4.8,52
52,6.4,53
53,6.5,54
54,7.6,55
55,7.2,56
56,8.1,57
57,8.2,58
58,7.1,59
59,7.4,60
60,7.3,61
61,7.6,62
62,7.1,63
63,7.7,64
64,9.4,65
65,9.9,66
66,8.7,67
67,10.1,68
68,10.6,69
69,9.9,70
70,9.7,71
71,10.3,72
72,9.1,73
73,7.9,74
74,7.1,75
75,7.7,76
76,9.0,77
77,10.4,78
78,11.7,79
79,10.6,80
80,9.3,81
81,9.5,82
82,11.5,83
83,8.1,84
84,11.4,85
85,10.6,86
86,8.9,87
87,8.8,88
88,10.4,89
89,14.1,90
90,12.0,91
91,12.2,92
92,10.6,93
93,11.1,94
94,12.6,95
95,13.5,96
96,11.4,97
97,12.5,98
98,13.8,99
99,11.1,100
100,12.5,101
101,14.1,102
102,16.2,103
103,12.1,104
104,13.3,105
105,13.7,106
106,14.3,107
107,13.7,108
108,17.9,109
109,17.5,110
110,17.7,111
111,15.8,112
112,16.2,113
113,14.0,114
114,13.7,115
115,15.5,116
116,15.0,117
117,15.9,118
118,15.9,119
119,15.2,120
120,17.1,121
121,16.9,122
122,18.2,123
123,17.2,124
124,18.5,125
125,17.6,126
126,16.2,127
127,16.7,128
128,18.4,129
129,18.6,130
130,18.5,131
131,17.7,132
132,20.0,133
133,21.9,134
134,22.3,135
135,19.8,136
136,19.2,137
137,20.3,138
138,18.9,139
139,18.6,140
140,18.3,141
141,17.4,142
142,17.9,143
143,15.3,144
144,16.8,145
145,19.5,146
146,20.7,147
147,20.8,148
148,19.0,149
149,18.3,150
150,18.1,151
151,19.8,152
152,21.1,153
153,21.8,154
154,22.2,155
155,22.2,156
156,23.7,157
157,21.7,158
158,20.1,159
159,17.7,160
160,17.6,161
161,20.2,162
162,22.9,163
163,19.9,164
164,17.7,165
165,20.6,166
166,17.8,167
167,20.3,168
168,22.1,169
169,21.1,170
170,22.1,171
171,21.7,172
172,21.6,173
173,21.4,174
174,20.7,175
175,24.2,176
176,27.6,177
177,29.5,178
178,28.9,179
179,27.9,180
180,23.2,181
181,23.7,182
182,24.1,183
183,22.1,184
184,22.7,185
185,25.3,186
186,23.1,187
187,21.9,188
188,23.5,189
189,22.7,190
190,23.8,191
191,26.6,192
192,22.3,193
193,23.9,194
194,23.2,195
195,22.3,196
196,21.7,197
197,21.9,198
198,24.1,199
199,23.8,200
200,23.2,201
201,25.2,202
202,25.9,203
203,24.4,204
204,25.9,205
205,25.3,206
206,26.3,207
207,25.9,208
208,26.3,209
209,27.5,210
210,27.6,211
211,24.1,212
212,22.6,213
213,23.6,214
214,23.0,215
215,22.1,216
216,22.5,217
217,23.5,218
218,22.3,219
219,24.4,220
220,24.4,221
221,23.0,222
222,23.5,223
223,26.0,224
224,25.6,225
225,23.8,226
226,24.4,227
227,23.2,228
228,23.9,229
229,25.0,230
230,22.6,231
231,23.9,232
232,22.4,233
233,20.9,234
234,20.1,235
235,22.8,236
236,22.9,237
237,22.4,238
238,23.1,239
239,22.5,240
240,23.0,241
241,22.9,242
242,23.3,243
243,20.8,244
244,21.3,245
245,22.5,246
246,24.3,247
247,23.6,248
248,22.8,249
249,19.7,250
250,19.5,251
251,20.1,252
252,20.9,253
253,21.6,254
254,21.0,255
255,18.5,256
256,17.7,257
257,19.2,258
258,17.7,259
259,17.7,260
260,18.3,261
261,17.6,262
262,16.9,263
263,19.3,264
264,18.2,265
265,18.9,266
266,16.8,267
267,16.9,268
268,18.7,269
269,19.0,270
270,20.2,271
271,17.7,272
272,16.7,273
273,17.5,274
274,17.9,275
275,18.0,276
276,16.0,277
277,15.7,278
278,17.2,279
279,19.0,280
280,17.4,281
281,16.5,282
282,13.9,283
283,12.2,284
284,13.2,285
285,15.8,286
286,15.0,287
287,17.1,288
288,17.7,289
289,13.5,290
290,13.1,291
291,14.6,292
292,13.4,293
293,13.7,294
294,13.2,295
295,13.2,296
296,10.9,297
297,11.4,298
298,11.1,299
299,10.5,300
300,12.1,301
301,11.2,302
302,10.9,303
303,10.3,304
304,11.5,305
305,11.7,306
306,10.3,307
307,11.8,308
308,12.4,309
309,12.4,310
310,9.4,311
311,10.5,312
312,12.6,313
313,12.0,314
314,10.7,315
315,11.3,316
316,9.9,317
317,7.9,318
318,8.5,319
319,8.3,320
320,9.8,321
321,9.2,322
322,7.7,323
323,6.7,324
324,8.9,325
325,11.0,326
326,8.5,327
327,6.5,328
328,8.2,329
329,8.4,330
330,10.3,331
331,9.8,332
332,9.0,333
333,8.4,334
334,9.6,335
335,9.0,336
336,9.6,337
337,9.4,338
338,8.6,339
339,7.6,340
340,7.5,341
341,8.6,342
342,11.1,343
343,10.5,344
344,8.2,345
345,7.5,346
346,5.2,347
347,6.6,348
348,7.3,349
349,7.1,350
350,7.3,351
351,6.8,352
352,8.4,353
353,8.7,354
354,9.5,355
355,8.7,356
356,7.4,357
357,11.2,358
358,9.4,359
359,7.7,360
360,7.9,361
361,8.6,362
362,9.0,363
363,8.3,364
364,6.4,365
