date,mean_TA,min_TA,max_TA,rain,rain_cum_yr,rain_cum_wyr,wtr_yr_day,wtr_yr,year,month,day,DOY,mean,max,min,std,sem,ci95_hi,ci95_lo,index,high
2024-01-28,9.3,6.8,12.2,18.29,571.83,1685.27,120,2024,2024,1,28,28,12.2,12.2,12.2,,,,,27,11.0
2024-01-29,10.3,9.8,11.0,17.27,589.1,1702.54,121,2024,2024,1,29,29,11.0,11.0,11.0,,,,,28,10.9
2024-01-31,10.4,9.3,11.7,15.5,605.35,1718.79,123,2024,2024,1,31,31,11.7,11.7,11.7,,,,,30,10.3
2024-02-14,2.2,-2.1,9.5,0.0,702.36,1815.8,137,2024,2024,2,14,45,9.5,9.5,9.5,,,,,44,9.5
2024-03-15,6.8,1.4,15.3,0.0,1026.45,2139.89,166,2024,2024,3,15,75,15.3,15.3,15.3,,,,,74,14.3
2024-03-16,9.7,3.7,20.7,0.0,1026.45,2139.89,167,2024,2024,3,16,76,20.7,20.7,20.7,,,,,75,16.9
2024-03-17,10.2,4.7,20.7,0.0,1026.45,2139.89,168,2024,2024,3,17,77,20.7,20.7,20.7,,,,,76,18.8
2024-06-08,19.4,11.2,28.8,0.0,1551.33,2664.77,251,2024,2024,6,8,160,28.8,28.8,28.8,,,,,159,26.3
2024-07-08,23.5,15.5,31.2,0.0,1603.66,2717.1,281,2024,2024,7,8,190,31.2,31.2,31.2,,,,,189,30.2
2024-08-31,20.3,14.4,28.8,0.0,1728.39,2841.83,335,2024,2024,8,31,244,28.8,28.8,28.8,,,,,243,28.1
2024-09-05,22.0,15.8,32.6,0.0,1728.39,2841.83,340,2024,2024,9,5,249,32.6,32.6,32.6,,,,,248,29.2
2024-09-06,22.5,16.7,31.2,0.0,1728.39,2841.83,341,2024,2024,9,6,250,31.2,31.2,31.2,,,,,249,28.9
2024-11-07,9.0,6.4,13.2,0.25,2454.82,625.07,37,2025,2024,11,7,312,13.2,13.2,13.2,,,,,311,12.8
2024-11-22,7.0,2.4,11.1,7.87,2716.18,886.43,52,2025,2024,11,22,327,11.1,11.1,11.1,,,,,326,11.1
