date,flow,year,month,mean_flow,percent
2023-01-31,34.25967741935484,2023,1.0,28.9,1.1854559660676416
2023-02-28,12.03892857142857,2023,2.0,15.7,0.766810737033667
2023-03-31,5.896451612903226,2023,3.0,20.9,0.28212687143077636
2023-04-30,29.70266666666667,2023,4.0,22.4,1.326011904761905
2023-05-31,34.46451612903226,2023,5.0,27.1,1.2717533626949173
2023-06-30,8.941,2023,6.0,21.1,0.4237440758293839
2023-07-31,2.4216129032258062,2023,7.0,10.1,0.2397636537847333
2023-08-31,2.064516129032258,2023,8.0,5.4,0.38231780167264034
2023-09-30,5.963733333333334,2023,9.0,9.5,0.627761403508772
2023-10-31,20.76290322580645,2023,10.0,23.6,0.8797840349917987
2023-11-30,25.171666666666667,2023,11.0,34.5,0.7296135265700483
2023-12-31,36.865483870967736,2023,12.0,24.9,1.480541520922399
